name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
1,1406.221108,7.105813751,266.3886853,-29.04570772,14.42055099,0.004643824,2022.71678
2,1451.373947,5.097977152,266.3886637,-29.04491823,15.30431362,0.005980911,2022.71678
3,1698.672946,10.16001975,266.3888665,-29.04060001,15.80402947,0.004352874,2022.71678
4,1929.082477,6.225690086,266.3888825,-29.0365736,18.83675222,0.01615799,2022.71678
5,1157.994107,7.920836813,266.3885996,-29.05004425,18.08198926,0.013481173,2022.71678
6,1182.691166,10.60197832,266.3886633,-29.04961379,14.79405644,0,2022.71678
7,1243.447979,6.105564587,266.3885984,-29.04855082,19.00262402,0.033225567,2022.71678
8,1273.076719,8.069732536,266.3886498,-29.04803394,16.86382797,0.005159815,2022.71678
9,928.774795,10.43237422,266.3885556,-29.05404936,,,2022.71678
10,1328.870808,8.337656169,266.3886781,-29.04705938,16.76699286,0.004904645,2022.71678
11,901.5790043,11.29488457,266.3885616,-29.05452475,,,2022.71678
12,956.410653,9.367334876,266.3885456,-29.05356621,15.75460178,0.00407892,2022.71678
13,244.4433863,17.38685722,266.3884133,-29.06600635,14.38529879,0.003463599,2022.71678
14,1012.52132,15.06616085,266.3886826,-29.05258806,15.91690063,0.003075622,2022.71678
15,1782.311911,17.11194599,266.3890397,-29.03914143,16.84018847,0.004451215,2022.71678
16,179.3095077,17.1531698,266.3883819,-29.06714408,15.71769984,0.00341261,2022.71678
17,778.1831603,19.11022344,266.3886671,-29.05668314,14.47863535,0.002904412,2022.71678
18,823.8102358,21.05713145,266.3887248,-29.05588679,18.52946515,0.009727621,2022.71678
19,1362.726701,19.18537444,266.3889088,-29.04647185,16.79510265,0.004085423,2022.71678
20,1677.616633,19.81521292,266.3890507,-29.04097131,17.71892128,0.006022069,2022.71678
21,1419.240548,25.02399085,266.3890487,-29.04548672,,,2022.71678
22,254.2896064,25.92885897,266.3885881,-29.06583741,13.34040433,0.002372606,2022.71678
23,1605.625682,21.79062329,266.3890606,-29.04222962,16.04713011,0.003067117,2022.71678
24,1977.60675,28.88135196,266.3893551,-29.03573408,16.35225442,0.006224315,2022.71678
25,1854.930437,25.27870073,266.3892327,-29.0378758,15.77793453,0.002868059,2022.71678
26,156.5394279,26.67049789,266.3885627,-29.06754526,14.87903451,0.002601332,2022.71678
27,1366.669881,31.83004089,266.3891631,-29.04640751,16.44549458,0.006231142,2022.71678
28,504.4769419,30.37675408,266.3887798,-29.06146852,15.41091767,0.003140631,2022.71678
29,1884.112285,29.52362517,266.3893295,-29.03736755,15.66467484,0.003111249,2022.71678
30,358.8464853,28.56177106,266.3886837,-29.06401187,15.69901959,0.002898409,2022.71678
31,1090.635587,28.15395554,266.3889762,-29.0512282,15.71500579,0.002823582,2022.71678
32,1664.191502,29.22606519,266.3892333,-29.04120921,15.59466279,0.002747038,2022.71678
33,1564.564906,31.19985271,266.3892318,-29.04295028,15.12274692,0.002525894,2022.71678
34,1590.210881,31.22200464,266.3892427,-29.04250228,17.3092617,0.004969837,2022.71678
35,662.488515,31.81279369,266.3888734,-29.05870876,14.70984942,0.002571826,2022.71678
36,1625.098475,32.10099427,266.3892746,-29.04189315,15.13953942,0.002039506,2022.71678
37,437.961142,34.98618851,266.3888446,-29.06263213,16.25079768,0.003370294,2022.71678
38,1481.428032,33.81054342,266.3892498,-29.04440353,17.15589479,0.004806997,2022.71678
39,1961.200729,34.28463814,266.3894563,-29.03602261,14.52831546,0.002962313,2022.71678
40,1015.296547,40.38337168,266.3891896,-29.05254868,,,2022.71678
41,1799.596513,33.90790976,266.3893824,-29.03884552,15.34539274,0.002724369,2022.71678
42,1297.326386,33.97126365,266.3891774,-29.04761963,16.44245564,0.003506278,2022.71678
43,1438.602447,34.55929977,266.3892472,-29.04515191,15.97940813,0.003061609,2022.71678
44,785.4392981,36.12167937,266.38901,-29.05656249,15.10005396,0.002515348,2022.71678
45,1892.917388,39.71498316,266.3895368,-29.03721739,17.55942245,0.005891136,2022.71678
46,1162.045885,38.54092249,266.3892131,-29.04998447,16.70069964,0.00405467,2022.71678
47,1515.952026,40.76758694,266.389403,-29.04380293,15.09138831,0.002593314,2022.71678
48,1666.498728,39.70567816,266.3894436,-29.04117267,15.22837093,0.002557494,2022.71678
49,2035.807346,40.30240851,266.3896072,-29.03472148,14.95414346,0.002456262,2022.71678
50,868.6209186,41.29930731,266.3891477,-29.05511126,15.57855332,0.002698615,2022.71678
