name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
1,2491.422839,11.03182093,266.3880393,-29.04915935,16.32865464,0.004921719,2022.71678
2,2603.514274,6.839132324,266.3880109,-29.04818668,16.24331097,0.007220223,2022.71678
3,930.9410114,11.30894551,266.3878587,-29.06269449,15.65192866,0.003922489,2022.71678
4,2471.745946,10.36845772,266.3880304,-29.04932996,18.02778692,0.009943298,2022.71678
6,442.4390562,10.90720829,266.3877973,-29.06693156,18.03334719,0.014382418,2022.71678
7,474.6081943,14.88443673,266.3878406,-29.06665294,18.0083782,0.00763667,2022.71678
8,1374.460595,10.75973094,266.3879054,-29.05884749,17.64736964,0.008429042,2022.71678
9,1924.182424,8.780059094,266.3879503,-29.05407918,16.84726368,0.007845766,2022.71678
10,1947.155551,11.65760772,266.3879816,-29.05388022,17.12735618,0.006871343,2022.71678
11,1969.286776,13.39591809,266.3880014,-29.05368843,15.89019064,0.00401058,2022.71678
12,2312.027598,10.76751897,266.3880156,-29.05071534,17.30021826,0.006911851,2022.71678
13,2960.31985,22.73153536,266.3882105,-29.04509349,16.73296238,0.003934757,2022.71678
14,2976.77398,10.35113168,266.3880896,-29.04494951,19.11497614,0.024734995,2022.71678
15,130.0076572,9.735382157,266.387749,-29.06964137,16.46537964,0.007380376,2022.71678
16,3176.016931,10.91395579,266.3881185,-29.04322139,15.51462807,0.005692528,2022.71678
17,3219.351894,16.34299818,266.3881775,-29.04284608,16.48940172,0.004043089,2022.71678
18,1493.723274,15.67420573,266.3879682,-29.05781355,16.33356661,0.00329479,2022.71678
19,2901.3014,13.50168642,266.388112,-29.04560445,17.57481385,0.006968268,2022.71678
20,3013.675148,14.83391102,266.3881384,-29.0446299,16.46072609,0.004342989,2022.71678
21,629.5513841,14.32944848,266.3878533,-29.06530896,17.70710214,0.007593359,2022.71678
22,1251.744504,14.82780656,266.3879313,-29.05991231,16.89229603,0.004246968,2022.71678
23,2233.16115,16.63942344,266.3880646,-29.05140001,15.99026978,0.003120167,2022.71678
24,395.0845783,16.36997946,266.387846,-29.06734286,16.92256985,0.004113571,2022.71678
25,1879.102955,17.34998651,266.3880301,-29.05447107,16.13141295,0.003056029,2022.71678
26,3625.499511,15.87036171,266.3882205,-29.03932324,17.56764875,0.011118806,2022.71678
27,2745.771894,17.22672946,266.3881306,-29.04695385,17.10212845,0.004512209,2022.71678
28,3662.114378,17.53833956,266.3882414,-29.03900582,20.3544078,0.054507795,2022.71678
29,3108.513407,17.68007821,266.3881777,-29.04380759,17.55783753,0.005712083,2022.71678
30,3757.204122,20.76856662,266.3882846,-29.03818138,15.29265684,0.003237452,2022.71678
31,3802.9148,16.56015552,266.3882482,-29.03778446,16.9817451,0.008673273,2022.71678
32,3815.899366,17.71641959,266.3882612,-29.03767196,17.93849737,0.013066158,2022.71678
33,1219.27677,19.54034891,266.3879743,-29.06019441,16.76446713,0.003468742,2022.71678
34,1308.837675,20.68578438,266.3879962,-29.0594177,17.35417134,0.004364922,2022.71678
35,2146.408987,17.50872998,266.388063,-29.05215256,17.17425786,0.008899492,2022.71678
36,2253.103132,21.30130459,266.3881132,-29.05122752,15.75988707,0.00255351,2022.71678
37,287.1162402,19.36626706,266.387863,-29.06827965,17.70155495,0.005791959,2022.71678
38,2215.080878,21.88658042,266.3881145,-29.05155737,16.13840392,0.004219448,2022.71678
39,2331.959728,26.99067942,266.3881789,-29.05054412,14.2060281,0.002833966,2022.71678
40,2398.024017,20.27347357,266.38812,-29.04997041,16.97011934,0.005174653,2022.71678
41,2695.573972,24.01731362,266.3881921,-29.04738995,15.03704208,0.002138076,2022.71678
42,2875.309475,20.8979471,266.3881823,-29.04583066,17.14242707,0.003984634,2022.71678
43,3250.056816,20.38933989,266.3882212,-29.04258017,17.41656402,0.004924582,2022.71678
44,3700.444844,22.06214235,266.3882907,-29.03867382,16.6143091,0.003886145,2022.71678
45,3730.99064,22.03380948,266.388294,-29.03840887,16.60485792,0.003880072,2022.71678
46,1476.978643,24.89615165,266.3880577,-29.05795974,14.99791637,0.001901565,2022.71678
47,1579.8647,21.825218,266.3880393,-29.05706702,16.88958218,0.003371873,2022.71678
48,2990.808679,24.36151732,266.3882302,-29.04482921,15.46190221,0.002251431,2022.71678
49,4242.171741,20.54413351,266.3883393,-29.0339749,17.82665041,,2022.71678
50,71.00110824,22.8286576,266.387872,-29.07015451,16.65546459,0.004313552,2022.71678
51,272.1328191,24.13824638,266.3879086,-29.0684101,16.42480036,0.002809848,2022.71678
52,1447.176675,24.29500515,266.3880482,-29.05821817,16.40791761,0.002763838,2022.71678
53,2931.700953,22.59665316,266.3882058,-29.04534171,17.50472422,0.004478454,2022.71678
54,3392.731809,22.59640175,266.3882599,-29.04134288,17.64291168,0.005121228,2022.71678
55,3916.297004,22.69355307,266.3883223,-29.03680165,17.39576556,0.005333995,2022.71678
56,1795.791953,24.1435851,266.3880877,-29.05519438,16.75497659,0.003128875,2022.71678
57,1918.145363,25.51649275,266.3881157,-29.05413326,17.31491142,0.003890327,2022.71678
58,2151.515235,24.75565089,266.3881355,-29.05210901,17.63883944,0.006317078,2022.71678
61,1690.495058,26.58869031,266.3880996,-29.05610794,20.14022329,0.016627184,2022.71678
62,2600.273425,36.01145149,266.3882999,-29.04821778,14.63944827,0.001971367,2022.71678
63,4123.602639,25.01316125,266.3883697,-29.03500379,17.64390775,0.006165775,2022.71678
64,102.1019511,27.07421277,266.3879178,-29.06988519,17.20692113,0.005323911,2022.71678
65,661.6107371,26.6717216,266.3879795,-29.06503215,17.5490666,0.004367369,2022.71678
66,1967.354156,27.02806457,266.3881365,-29.0537066,17.06854313,0.00353247,2022.71678
67,1030.766786,27.81855734,266.3880343,-29.06183033,17.23854592,0.003811649,2022.71678
68,1375.076855,28.52128722,266.3880817,-29.05884397,16.85667682,0.00325883,2022.71678
69,2125.563297,29.12790868,266.3881759,-29.05233456,16.43354214,0.003891274,2022.71678
70,3479.388792,27.7042285,266.3883208,-29.04059177,19.01815869,0.009841047,2022.71678
71,1643.547026,28.6054326,266.3881141,-29.05651536,17.33382458,0.00393857,2022.71678
72,2289.189094,34.77037181,266.3882511,-29.0509159,17.80476013,0.007485523,2022.71678
73,753.4854014,31.94995045,266.3880427,-29.06423581,14.92365282,0.001886357,2022.71678
74,2437.293061,29.49052634,266.3882161,-29.04963075,17.69556073,0.004901826,2022.71678
75,4421.105245,30.75082188,266.3884616,-29.03242394,15.08525872,0.004852445,2022.71678
76,609.7415469,32.68746434,266.3880331,-29.06548267,19.04769554,0.009252734,2022.71678
77,1811.689049,31.53698097,266.3881629,-29.05505725,17.09347442,0.003575591,2022.71678
78,2083.660564,32.40352633,266.3882035,-29.05269835,17.34495235,0.005566016,2022.71678
80,2764.751559,31.70869168,266.3882766,-29.04679071,17.04619633,0.003966366,2022.71678
81,3113.00987,33.1876396,266.3883321,-29.04377018,15.75667815,0.002460149,2022.71678
82,3269.647384,30.07555049,266.3883196,-29.04241124,17.62017247,0.004707694,2022.71678
83,3852.93519,31.24671997,266.3883998,-29.03735211,16.8724473,0.003500454,2022.71678
84,4188.166004,30.65242034,266.3884332,-29.03444437,17.33388759,0.004660701,2022.71678
85,3294.026771,35.03499725,266.3883717,-29.04220029,16.69931646,0.003342135,2022.71678
86,829.1373324,35.85608269,266.3880904,-29.06358003,15.94726636,0.002423509,2022.71678
87,3430.385284,32.87577792,266.3883663,-29.04101734,17.54910176,0.00453168,2022.71678
88,4007.972795,34.57863918,266.388451,-29.03600771,16.14433858,0.002670572,2022.71678
89,409.1587612,37.52074092,266.3880575,-29.06722295,15.93630371,0.002548032,2022.71678
90,573.2479424,37.73599511,266.3880789,-29.06579972,16.55487149,0.003020727,2022.71678
91,1230.517417,36.72280033,266.3881461,-29.06009868,14.85495856,0.001847049,2022.71678
92,1384.697359,40.25211896,266.3881992,-29.05876173,14.33581505,0.00181794,2022.71678
93,1482.600737,35.33906966,266.388162,-29.05791204,17.57395725,0.004409627,2022.71678
94,2177.092695,34.55217747,266.3882358,-29.05188817,17.78630267,0.006723482,2022.71678
95,2445.542207,58.68558453,266.3885067,-29.0495622,17.74734499,0.005402986,2022.71678
96,3173.721068,35.4202466,266.3883614,-29.04324382,16.53648287,0.003023599,2022.71678
97,4242.570364,34.72111107,266.38848,-29.0339729,18.92353583,0.009155841,2022.71678
98,3961.646844,35.7503289,266.3884572,-29.03640964,17.58660268,0.004550239,2022.71678
99,4062.856215,38.6530239,266.3884979,-29.03553208,14.54914813,0.001843983,2022.71678
100,1511.061748,36.93420506,266.3881812,-29.05766535,17.58607764,0.004415492,2022.71678
101,2252.521429,35.8832348,266.3882578,-29.05123406,17.88242267,0.004465151,2022.71678
102,2721.455493,36.60278185,266.38832,-29.04716675,17.41965963,0.004362128,2022.71678
103,3622.600027,42.53651876,266.3884847,-29.03935112,16.01771174,0.002612222,2022.71678
104,1500.485292,38.0312048,266.3881908,-29.0577572,17.10673084,0.003604806,2022.71678
105,1028.905874,46.34316755,266.3882179,-29.06184838,17.70907386,0.005013133,2022.71678
106,4344.988945,39.32361439,266.3885377,-29.03308503,16.9380854,0.005040059,2022.71678
107,2905.435577,41.22687493,266.3883875,-29.04557144,16.43423591,0.002987036,2022.71678
108,3369.241449,41.73493683,266.388447,-29.04154859,16.20716979,0.002751361,2022.71678
109,3907.375001,41.14334513,266.3885043,-29.03688093,15.9173363,0.002517827,2022.71678
110,4393.461815,39.07416508,266.3885409,-29.03266456,17.80675325,0.007181961,2022.71678
111,3538.32577,40.35718274,266.3884532,-29.04008187,17.74948704,0.004961976,2022.71678
112,1214.983997,41.95526359,266.3881962,-29.06023394,17.35384572,0.004009307,2022.71678
113,1362.406029,40.88338845,266.3882029,-29.05895514,17.83492183,0.004876922,2022.71678
114,1741.064675,42.38377214,266.3882622,-29.05567094,16.72004059,0.003100493,2022.71678
115,1973.197725,42.9517087,266.3882951,-29.05365755,16.98500444,0.003441796,2022.71678
116,2633.283717,41.52190059,266.3883585,-29.04793203,17.95863747,0.005509752,2022.71678
117,2439.995775,44.5882564,266.3883662,-29.04960886,19.67877699,0.014521804,2022.71678
118,3119.787547,45.86250454,266.3884587,-29.0437127,15.87276141,0.002702127,2022.71678
119,118.0327774,43.54469116,266.3880831,-29.0697487,17.93087968,0.007289552,2022.71678
120,970.4711202,44.89844536,266.3881967,-29.06235507,18.49267111,0.006923222,2022.71678
121,2991.502907,44.29984821,266.3884281,-29.04482524,17.27693912,0.004092493,2022.71678
122,2665.979658,46.50337805,266.3884117,-29.04764895,16.84180963,0.003475236,2022.71678
123,764.5783484,45.80099778,266.3881815,-29.06414101,17.46321988,0.004191877,2022.71678
124,1623.041795,45.97485252,266.388284,-29.056695,17.15486352,0.003736992,2022.71678
125,4312.093597,44.96758288,266.3885898,-29.03337093,17.50433663,0.006396314,2022.71678
126,4352.028252,45.69550947,266.3886017,-29.03302462,18.10911004,0.008368881,2022.71678
127,2894.862854,47.37232479,266.3884472,-29.04566378,17.10081279,0.003874107,2022.71678
128,3981.562558,46.98696287,266.388571,-29.03623806,17.95689279,0.005489958,2022.71678
129,547.0462009,49.76276496,266.3881952,-29.06602822,15.76423147,0.002310865,2022.71678
130,890.1774857,48.09502931,266.388219,-29.06305184,17.05943176,0.00357768,2022.71678
131,1985.48302,48.33736849,266.38835,-29.05355154,17.74381304,0.004761887,2022.71678
132,3724.027878,48.49968422,266.3885558,-29.03847198,17.81440582,0.00509563,2022.71678
133,1380.550522,52.43470757,266.3883196,-29.05879895,16.05653133,0.002467054,2022.71678
134,4134.818896,49.96888944,266.3886186,-29.03490907,17.17363706,0.00390637,2022.71678
135,2979.009798,51.01375328,266.3884933,-29.04493429,17.15747221,0.003932828,2022.71678
136,3473.195161,53.44425389,266.3885754,-29.04064813,19.82221011,0.016177076,2022.71678
137,2164.026259,51.36769889,266.3884011,-29.05200323,17.94868189,0.007266986,2022.71678
138,467.5152499,52.17389297,266.3882098,-29.06671829,17.37526585,0.004055794,2022.71678
139,1708.533711,55.22488297,266.3883858,-29.05595442,15.49649961,0.00209038,2022.71678
141,1272.497949,56.23722409,266.3883447,-29.05973655,16.96261905,0.003402614,2022.71678
143,2182.523964,54.83089783,266.3884376,-29.05184314,16.49819127,0.00398945,2022.71678
144,3548.716165,52.54066021,266.3885753,-29.039993,18.85285191,0.008360978,2022.71678
145,3658.432641,54.2819977,266.3886055,-29.03904153,16.93537327,0.003578228,2022.71678
146,4338.491089,54.790621,266.3886903,-29.03314297,17.65437496,0.006744674,2022.71678
147,3599.583693,58.23341039,266.3886377,-29.03955237,17.34670714,0.004178541,2022.71678
148,3883.908694,55.30343993,266.3886421,-29.03708593,17.52771726,0.004554362,2022.71678
149,3960.655231,55.40819731,266.3886521,-29.03642026,17.64796468,0.004790621,2022.71678
150,4242.140872,56.11299792,266.3886921,-29.03397882,20.26719417,0.02072952,2022.71678
151,2225.871371,57.5128513,266.3884693,-29.05146743,17.01142976,0.003898696,2022.71678
152,4348.477962,57.3325937,266.3887167,-29.03305661,16.60056163,0.004464736,2022.71678
153,373.447998,58.70688565,266.3882636,-29.06753487,16.38701951,0.002800892,2022.71678
154,1437.865059,59.35664337,266.3883951,-29.05830253,16.30723788,0.002689028,2022.71678
155,1457.260954,58.90880082,266.3883929,-29.05813425,16.48682916,0.002870762,2022.71678
156,2622.873674,60.64489189,266.388547,-29.04802429,16.07241328,0.002705168,2022.71678
157,400.7632449,58.31654888,266.3882629,-29.06729791,17.58489902,0.004489932,2022.71678
158,1037.942868,58.3885787,266.3883385,-29.06177123,17.59701536,0.00444963,2022.71678
159,2982.667691,60.88374337,266.3885916,-29.04490357,15.56842616,0.00230765,2022.71678
160,221.5581212,59.92789879,266.3882579,-29.06885244,16.96965596,0.003439112,2022.71678
161,550.2346522,65.7036826,266.3883538,-29.0660022,14.53075634,0.000533161,2022.71678
162,687.9769915,59.76415086,266.388311,-29.06480686,17.36063928,0.004060342,2022.71678
163,1104.774269,59.82137748,266.3883605,-29.0611917,16.84407918,0.003329846,2022.71678
164,1985.496165,61.09728193,266.3884766,-29.05355274,15.98136658,0.002418197,2022.71678
165,2077.486918,60.13910785,266.3884779,-29.05275474,16.90499377,0.004710814,2022.71678
166,2391.140676,61.71559885,266.3885304,-29.05003437,20.28149894,0.029463291,2022.71678
167,3225.372578,59.70364327,266.3886084,-29.04279831,18.05584431,0.005704666,2022.71678
168,1546.485797,60.73606638,266.3884215,-29.05736053,17.15621199,0.003743273,2022.71678
169,2891.597121,64.02583795,266.3886121,-29.04569381,14.69065422,0.001928811,2022.71678
170,3813.85167,61.25301603,266.3886929,-29.03769419,17.11702721,0.003829941,2022.71678
171,3913.077689,60.11220233,266.3886932,-29.03683342,18.12528234,0.005921384,2022.71678
172,3343.14333,61.69829343,266.388642,-29.04177701,17.41602258,0.004299653,2022.71678
173,419.0904407,64.15464314,266.388323,-29.06713954,16.06976341,0.002539688,2022.71678
174,2735.847977,65.19229643,266.3886054,-29.04704485,18.19652338,0.006490592,2022.71678
175,3454.797935,63.47059914,266.3886727,-29.04080873,18.81129003,0.008887896,2022.71678
176,3579.194418,62.46532711,266.3886773,-29.03972966,17.25206594,0.004010234,2022.71678
177,4008.889035,62.7023404,266.3887301,-29.03600265,17.24198716,0.003996884,2022.71678
178,3329.435736,63.23285391,266.3886556,-29.04189606,17.51717846,0.004467714,2022.71678
179,3696.654639,65.44363992,266.3887207,-29.03871115,16.36894232,0.002885769,2022.71678
180,4450.081986,63.60523342,266.3887909,-29.03217597,17.82100296,0.007161874,2022.71678
181,3950.621845,66.79458787,266.3887639,-29.03650846,16.1861484,0.002709999,2022.71678
182,4180.992245,66.5191363,266.3887882,-29.03451027,16.5330995,0.003115954,2022.71678
183,2605.862972,69.48252938,266.3886327,-29.04817274,16.5269771,0.003146629,2022.71678
184,3033.390126,67.79862822,266.3886662,-29.04446433,17.3998824,0.004352857,2022.71678
185,1897.47733,70.22661929,266.3885569,-29.05431712,17.56003086,0.004404644,2022.71678
186,2624.670685,71.1968195,266.3886519,-29.04800978,17.17723396,0.004046471,2022.71678
188,1102.054803,72.80461085,266.3884891,-29.06121662,16.53202448,0.002936118,2022.71678
189,2098.412299,73.33577901,266.3886113,-29.0525746,16.21454849,0.00365599,2022.71678
190,3391.210406,71.43496022,266.3887443,-29.04136109,17.42078973,0.004322382,2022.71678
191,989.755508,73.10416561,266.3884788,-29.0621907,17.24432325,0.003843871,2022.71678
192,1374.17857,72.46104703,266.3885176,-29.05885627,17.01849929,0.003477088,2022.71678
193,2114.08888,73.14946434,266.3886113,-29.0524386,17.08777337,0.005029553,2022.71678
194,2793.834088,73.32810234,266.3886929,-29.04654273,16.87960119,0.003539752,2022.71678
195,3940.340595,74.56851532,266.3888398,-29.03659843,16.51514855,0.003046944,2022.71678
196,2957.497576,73.45280452,266.3887134,-29.04512318,17.33057814,0.004184383,2022.71678
197,3641.106045,74.30874434,266.3888021,-29.03919387,19.40392723,0.011314299,2022.71678
198,4278.856441,74.00780486,266.388874,-29.0336622,17.56418419,0.004609546,2022.71678
199,1525.133257,74.60777188,266.3885566,-29.05754716,16.86258124,0.003265694,2022.71678
200,1625.937518,77.66367286,266.3885988,-29.05667313,14.57092156,0.001790855,2022.71678
201,2831.326389,76.01481242,266.388724,-29.04621781,16.89824038,0.003565337,2022.71678
202,1714.860273,77.69799014,266.3886096,-29.05590185,16.30495945,0.002691485,2022.71678
203,2663.650236,75.45026947,266.3886987,-29.04767212,17.08323697,0.003836184,2022.71678
204,3260.751203,74.7388837,266.3887617,-29.04249299,18.55470714,0.007239375,2022.71678
205,1542.215989,76.37193237,266.3885761,-29.05739917,17.45375085,0.004145118,2022.71678
206,344.4875995,78.06137688,266.3884522,-29.06778805,16.97865175,0.003427325,2022.71678
207,373.0532915,82.69091485,266.3885015,-29.06754076,15.19592076,0.002016339,2022.71678
208,948.1698885,77.47134604,266.3885173,-29.06255185,20.0444269,0.016140635,2022.71678
209,1049.86203,78.81398431,266.3885426,-29.06166994,17.50367713,0.004363223,2022.71678
210,3301.897681,78.6473469,266.3888053,-29.0421365,17.63770727,0.004728455,2022.71678
211,2650.229705,79.43860866,266.3887367,-29.04778894,17.40146063,0.004306027,2022.71678
212,3143.370147,81.65938603,266.3888166,-29.04351182,17.75379796,0.005006204,2022.71678
213,4423.092458,81.2930951,266.3889632,-29.03241189,17.20502386,0.005557785,2022.71678
214,4457.719906,80.63088679,266.3889607,-29.03211147,17.38829649,0.005936559,2022.71678
215,1946.100617,85.29917499,266.3887121,-29.05389693,17.14835917,0.003750694,2022.71678
216,2139.909978,81.45842404,266.3886968,-29.05221549,17.56722411,0.006168257,2022.71678
217,2692.351453,82.76237207,266.3887746,-29.04742393,16.87189153,0.003542362,2022.71678
218,3311.058644,81.4053306,266.3888338,-29.04205732,17.76775299,0.005083163,2022.71678
219,4206.228328,83.32079544,266.3889578,-29.03429311,16.23482259,0.002763186,2022.71678
220,4277.749141,81.74985218,266.3889506,-29.0336726,17.54469549,0.004507226,2022.71678
221,2213.108659,83.41903538,266.3887248,-29.05158079,17.15292898,0.005171808,2022.71678
222,2245.328846,83.1057221,266.3887255,-29.05130129,17.58554653,0.004478062,2022.71678
223,2439.744894,83.22102476,266.3887495,-29.049615,19.39202806,0.012602242,2022.71678
224,2779.738897,83.63629072,266.3887935,-29.04666605,16.81745841,0.003522399,2022.71678
