name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
jws_01,1405.836062,6.575123097,266.3886772,-29.04570719,13.69817033,0.005267141,2022.71678
jws_02,1928.402251,6.246427845,266.3888851,-29.03657773,16.92330469,0.01109808,2022.71678
jws_03,694.0239122,10.01473714,266.3884536,-29.05814394,14.45054514,0.004176823,2022.71678
jws_04,2058.143032,10.67225258,266.3890268,-29.03431271,14.41610557,0.002362252,2022.71678
jws_05,1783.310714,15.60313255,266.3890125,-29.03911587,14.09534263,0.002171129,2022.71678
jws_06,244.1416174,17.01947818,266.3884089,-29.06600599,13.67466654,0.003103527,2022.71678
jws_07,777.8632557,18.91240369,266.3886659,-29.05668244,13.26152318,0.002646713,2022.71678
jws_08,823.4111439,20.57888263,266.3887179,-29.05588731,16.95457471,0.007294834,2022.71678
jws_09,1854.849885,24.76831295,266.389225,-29.03786935,15.26961434,0.003014536,2022.71678
jws_10,156.1379551,26.37741258,266.3885598,-29.06754679,14.09710416,0.002182154,2022.71678
jws_11,503.8861772,30.4426168,266.3887838,-29.06147302,13.38573443,0.002435088,2022.71678
jws_12,1883.990245,29.24693044,266.3893265,-29.03736187,14.66147069,0.002503267,2022.71678
jws_13,2012.188104,28.56071629,266.3893654,-29.03512198,14.85989615,0.002189776,2022.71678
jws_14,1663.909926,28.95963505,266.3892304,-29.04120662,14.56688348,0.002369704,2022.71678
jws_15,662.2264112,31.54742736,266.3888709,-29.05870717,13.32272071,0.002658479,2022.71678
jws_16,726.5940797,31.58274262,266.388898,-29.05758267,16.10031846,0.004534488,2022.71678
jws_17,1564.26945,30.94882711,266.3892293,-29.04294807,13.77908487,0.002549059,2022.71678
jws_18,437.5809053,34.52324408,266.3888381,-29.06263285,14.51125591,0.002356503,2022.71678
jws_19,1624.813434,31.80273909,266.3892712,-29.04189066,14.05202061,0.001698447,2022.71678
jws_20,1799.297023,33.56431246,266.389378,-29.03884303,14.30004717,0.002326066,2022.71678
jws_21,1960.942714,33.98148754,266.3894527,-29.03601919,13.58592063,0.002808597,2022.71678
jws_22,785.1023798,35.83779973,266.3890071,-29.05656205,13.6249099,0.00237499,2022.71678
jws_23,1892.320287,39.86374759,266.3895421,-29.03722015,15.07265435,0.002804368,2022.71678
jws_24,2035.209292,39.57436237,266.3895949,-29.03472374,14.19274262,0.002351481,2022.71678
jws_25,1666.321933,39.33800748,266.3894388,-29.0411682,14.12875469,0.00230614,2022.71678
jws_26,915.5422846,43.07911436,266.3892054,-29.05428583,15.46014239,0.003484832,2022.71678
jws_27,1151.220511,42.16422933,266.3892838,-29.05016815,14.04945465,0.002377557,2022.71678
jws_28,1515.701107,40.94150914,266.389409,-29.04380016,13.87107848,0.002390692,2022.71678
