region1,region2,regiony,catalog1,catalog2,catalogy,catalog1zp,catalog2zp,x_range,parallel_cutoff1,parallel_cutoff2,xlim,ylim,derived slope,slope_error
NRCB1,NRCB1,NRCB1,F115W,F212N,F115W,25.92,22.12,"[4.9, 9.1]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",0,0,1.388,0.003
NRCB1,NRCB1,NRCB1,F115W,F212N,F212N,25.92,22.12,"[4.9, 9.1]","[(6.2, 15.5), (7.9, 16.3)]","[(6.65, 15.2), (8.35, 16.0)]",0,0,0.414,0.002
NRCB1,NRCB5,NRCB1,F115W,F323N,F115W,25.92,21.14,"[5.7, 10.1]","[(6.9, 21.45), (8.5, 23.65)]","[(7.5, 21.35), (9.1, 23.55)]",0,0,1.401,0.003
NRCB1,NRCB5,NRCB5,F115W,F323N,F323N,25.92,21.14,"[5.7, 10.1]","[(7.4, 13.65), (10, 15.05)]","[(7.2, 14.35), (9.8, 15.75)]",0,0,0.387,0.003
NRCB1,NRCB5,NRCB1,F115W,F405N,F115W,25.92,20.9,"[6.2, 11.6]","[(7.85, 21), (10, 23.5)]","[(8, 21.95), (10.15, 24.45)]",0,0,1.094,0.003
NRCB1,NRCB5,NRCB5,F115W,F405N,F405N,25.92,20.9,"[6.2, 11.6]","[(7.9, 13.4), (10.5, 13.9)]","[(8.4, 14), (11, 14.5)]",0,0,0.134,0.002
NRCB1,NRCB5,NRCB1,F212N,F323N,F212N,22.12,21.14,0,0,0,"[-0.2, 1.5]","[14.4, 16.4]",-0.506,0.009
NRCB1,NRCB5,NRCB5,F212N,F323N,F323N,22.12,21.14,0,0,0,"[0.3, 1.4]","[13.5, 15.9]",-1.167,0.013
NRCB1,NRCB5,NRCB1,F212N,F405N,F212N,22.12,20.9,"[1.2, 2.9]","[(1.6, 14.9), (2.15, 15.85)]","[(1.55, 15.5), (2.1, 16.45)]",0,0,1.607,0.006
NRCB1,NRCB5,NRCB5,F212N,F405N,F405N,22.12,20.9,"[1.2, 2.9]","[(1.5, 13.35), (2.2, 13.75)]","[(1.6, 13.9), (2.3, 14.3)]",0,0,0.598,0.007
NRCB2,NRCB2,NRCB2,F115W,F212N,F115W,25.95,22.15,"[4.9, 9.3]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",0,0,1.395,0.003
NRCB2,NRCB2,NRCB2,F115W,F212N,F212N,25.95,22.15,"[4.9, 9.3]","[(6.2, 15.5), (7.9, 16.3)]","[(6.65, 15.2), (8.35, 16.0)]",0,0,0.402,0.003
NRCB2,NRCB5,NRCB2,F115W,F323N,F115W,25.95,21.14,"[5.8, 10.2]","[(6.9, 21.45), (8.5, 23.65)]","[(7.5, 21.35), (9.1, 23.55)]",0,0,1.375,0.004
NRCB2,NRCB5,NRCB5,F115W,F323N,F323N,25.95,21.14,"[5.8, 10.2]","[(7.4, 13.65), (10, 15.05)]","[(7.2, 14.35), (9.8, 15.75)]",0,0,0.381,0.003
NRCB2,NRCB5,NRCB2,F115W,F405N,F115W,25.95,20.9,"[6.3, 11.35]","[(7.85, 21), (10, 23.5)]","[(8, 21.95), (10.15, 24.45)]",0,0,1.082,0.003
NRCB2,NRCB5,NRCB5,F115W,F405N,F405N,25.95,20.9,"[6.3, 11.35]","[(7.9, 13.4), (10.5, 13.9)]","[(8.4, 14), (11, 14.5)]",0,0,0.128,0.002
NRCB2,NRCB5,NRCB2,F212N,F323N,F212N,22.15,21.14,0,0,0,"[-0.2, 1.5]","[14.4, 16.4]",-0.371,0.012
NRCB2,NRCB5,NRCB5,F212N,F323N,F323N,22.15,21.14,0,0,0,"[0.3, 1.4]","[13.5, 16]",-1.263,0.015
NRCB2,NRCB5,NRCB2,F212N,F405N,F212N,22.15,20.9,"[1.2, 2.9]","[(1.6, 14.9), (2.15, 15.85)]","[(1.55, 15.5), (2.1, 16.45)]",0,0,1.657,0.007
NRCB2,NRCB5,NRCB5,F212N,F405N,F405N,22.15,20.9,"[1.2, 2.9]","[(1.5, 13.35), (2.2, 13.75)]","[(1.6, 13.9), (2.3, 14.3)]",0,0,0.648,0.007
NRCB3,NRCB3,NRCB3,F115W,F212N,F115W,25.97,22.15,"[5.1, 9.6]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",0,0,1.299,0.003
NRCB3,NRCB3,NRCB3,F115W,F212N,F212N,25.97,22.15,"[5.1, 9.6]","[(6.2, 15.5), (7.9, 16.3)]","[(6.65, 15.2), (8.35, 16.0)]",0,0,0.399,0.003
NRCB3,NRCB5,NRCB3,F115W,F323N,F115W,25.97,21.14,"[6.25, 10.4]","[(6.9, 21.45), (8.5, 23.65)]","[(7.5, 21.35), (9.1, 23.55)]",0,0,1.343,0.004
NRCB3,NRCB5,NRCB5,F115W,F323N,F323N,25.97,21.14,"[6.25, 10.4]","[(7.4, 13.65), (10, 15.05)]","[(7.2, 14.35), (9.8, 15.75)]",0,0,0.35,0.004
NRCB3,NRCB5,NRCB3,F115W,F405N,F115W,25.97,20.9,"[6.5, 11.8]","[(7.85, 21), (10, 23.5)]","[(8, 21.95), (10.15, 24.45)]",0,0,1.025,0.003
NRCB3,NRCB5,NRCB5,F115W,F405N,F405N,25.97,20.9,"[6.5, 11.8]","[(7.9, 13.3), (10.5, 13.8)]","[(8.4, 13.9), (11, 14.4)]",0,0,0.121,0.002
NRCB3,NRCB5,NRCB3,F212N,F323N,F212N,22.15,21.14,0,0,0,"[0.1, 2.5]","[14.4, 17]",-0.25,0.008
NRCB3,NRCB5,NRCB5,F212N,F323N,F323N,22.15,21.14,0,0,0,"[0.3, 1.8]","[13.5, 15.6]",-1.068,0.011
NRCB3,NRCB5,NRCB3,F212N,F405N,F212N,22.15,20.9,"[1.2, 2.9]","[(1.6, 14.9), (2.15, 15.85)]","[(1.55, 15.5), (2.1, 16.45)]",0,0,1.663,0.006
NRCB3,NRCB5,NRCB5,F212N,F405N,F405N,22.15,20.9,"[1.2, 2.9]","[(1.5, 13.35), (2.2, 13.75)]","[(1.6, 13.9), (2.3, 14.3)]",0,0,0.619,0.006
NRCB4,NRCB4,NRCB4,F115W,F212N,F115W,25.98,22.23,"[5, 9.5]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",0,0,1.424,0.003
NRCB4,NRCB4,NRCB4,F115W,F212N,F212N,25.98,22.23,"[5, 9.5]","[(6.2, 15.5), (7.9, 16.3)]","[(6.65, 15.2), (8.35, 16.0)]",0,0,0.407,0.002
NRCB4,NRCB5,NRCB4,F115W,F323N,F115W,25.98,21.14,"[6, 10.2]","[(6.9, 21.45), (8.5, 23.65)]","[(7.5, 21.35), (9.1, 23.55)]",0,0,1.287,0.003
NRCB4,NRCB5,NRCB5,F115W,F323N,F323N,25.98,21.14,"[6, 10.2]","[(7.4, 13.65), (10, 15.05)]","[(7.2, 14.35), (9.8, 15.75)]",0,0,0.357,0.003
NRCB4,NRCB5,NRCB4,F115W,F405N,F115W,25.98,20.9,"[6.4, 11.8]","[(7.85, 21), (10, 23.5)]","[(8, 21.95), (10.15, 24.45)]",0,0,1.096,0.002
NRCB4,NRCB5,NRCB5,F115W,F405N,F405N,25.98,20.9,"[6.4, 11.5]","[(7.9, 13.3), (10.5, 13.8)]","[(8.4, 13.9), (11, 14.4)]",0,0,0.126,0.002
NRCB4,NRCB5,NRCB4,F212N,F323N,F212N,22.23,21.14,0,0,0,"[-0.2, 1.7]","[14.4, 16.8]",-0.43,0.009
NRCB4,NRCB5,NRCB5,F212N,F323N,F323N,22.23,21.14,0,0,0,"[0.3, 1.8]","[13.5, 16]",-0.638,0.01
NRCB4,NRCB5,NRCB4,F212N,F405N,F212N,22.23,20.9,"[1.2, 2.9]","[(1.6, 14.9), (2.15, 15.85)]","[(1.55, 15.5), (2.1, 16.45)]",0,0,1.606,0.006
NRCB4,NRCB5,NRCB5,F212N,F405N,F405N,22.23,20.9,"[1.2, 2.9]","[(1.5, 13.35), (2.2, 13.75)]","[(1.6, 13.9), (2.3, 14.3)]",0,0,0.612,0.006
NRCB5,NRCB5,NRCB5,F323N,F405N,F323N,21.14,20.9,"[0.4, 3]","[(0.5, 13.7), (2, 15.75)]","[(0.5, 14.8), (2, 16.85)]",0,0,1.328,0.003
NRCB5,NRCB5,NRCB5,F323N,F405N,F405N,21.14,20.9,"[0.4, 3]","[(0.5, 14.3), (2.6, 15)]","[(0.7, 13), (2.8, 13.7)]",0,0,0.362,0.003
